TermeGen;ID_TG;TermeSpe;ID_TS;TA;ID_TA;Note;EP
AÉRONAUTE;1331;SACONNEY Jacques-Théodore;34628;;;;
AÉRONAUTE;1331;SIVEL Théodore;34074;;;;
AÉRONAUTE;1331;SURCOUF Edouard;26678;;;;
AÉRONAUTE;1331;TESTU-BRISSY;27264;;;;
AÉRONAUTE;1331;TISSANDIER Gaston;27383;;;;
AÉRONAUTE;1331;TOURTAY (Lieutenant);35190;;;;
AÉRONAUTE;1331;VALLET;2249; ALBAN| COMTE D'ARTOIS;2248| 7894;;
AÉRONAUTE;1331;VILLENEUVE Abel Hureau de;36170;;;;
AÉRONAUTE;1331;ZAMBECCARI Francesco;30521;;;;
AÉRONAUTE;1331;ZEPPELIN Ferdinand von;30541; ZEPPELIN;16435;;
AÉROSTATION;2;AÉROSTAT;1405;;;;
AÉROSTAT;1405;BALLON;4732;;;;
BALLON;4732;BALLON À GAZ;4733;;;;
BALLON;4732;BALLON CAPTIF;4734;;;;
BALLON;4732;BALLON LIBRE;4735;;;;
BALLON LIBRE;4735;BREITLING ORBITER 2;5793;;;;
BALLON LIBRE;4735;BREITLING ORBITER 3;5794;;;;
BALLON LIBRE;4735;COMTE D'ARTOIS;7894;;;;
BALLON LIBRE;4735;FU-GO;12241;;;;
BALLON;4732;BALLON MONTE;31592;;;;
BALLON;4732;BALLON STRATOSPHÉRIQUE;4736;;;;
BALLON;4732;BALLON-SONDE;4737;;;;
AÉROSTAT;1405;DIRIGEABLE;1370; DIRIGEABLE DE SURVEILLANCE;3527;;DIRIGEABLE RIGIDE| DIRIGEABLE SEMI-RIGIDE
DIRIGEABLE;1370;AEROS 40D SKY DRAGON (Aeros Corp.);1369;;;;
DIRIGEABLE;1370;AEROSCRAFT ML866 (Aeroscraft Corporation);32546;;;;
DIRIGEABLE;1370;AEROSCRAFT ML868 (Aeroscraft Corporation);32547;;;;
DIRIGEABLE;1370;AEROSCRAFT ML86X (Aeroscraft Corporation);32548;;;;
DIRIGEABLE;1370;BLUE DEVIL II;32140;;;;
DIRIGEABLE;1370;WINDREAM ONE (Theolia);29689;;;;
AÉROSTAT;1405;DIRIGEABLE DE SURVEILLANCE;3527;;;;LTAV| DIRIGEABLE-DRONE| DIRIGEABLE STRATOSPHÉRIQUE| DIRIGEABLE DRONISÉ| Lighter-Than Air Vehicle
DIRIGEABLE DE SURVEILLANCE;3527;Au-12 (Augur);3526;;;;
DIRIGEABLE DE SURVEILLANCE;3527;Au-17 BARS (Augur);3528;;;;BARS (Augur)
DIRIGEABLE DE SURVEILLANCE;3527;JLENS (Raytheon);15417;;;;Joint Land attack cruise missile defense Elevated Netted Sensor (Raytheon)
DIRIGEABLE DE SURVEILLANCE;3527;SPF (NAL);26212;;;;SPF-1 (NAL)| Stratospheric PlatForm (NAL)| SPF-2 (NAL)
AÉROSTAT;1405;DIRIGEABLE DE TRANSPORT DE CHARGE;3645;;;;DIRIGEABLE DE TRANSPORT CARGO
DIRIGEABLE DE TRANSPORT DE CHARGE;3645;AVEA (Aerall);3643;;;;Aile Verticale Epaisse Aérostatique
AÉROSTAT;1405;MONTGOLFIÈRE;19829;;;;
AÉROSTAT;1405;MOTO-BALLON;19918;;;;MOTOBALLON
AÉROSTAT;1405;ROZIÈRE;24049;;;;
AÉROSTATION;2;AÉROSTATION MARITIME;1407;;;;
AÉROSTATION;2;AÉROSTATION MILITAIRE;1408; MOTO-BALLON;19918;;
AÉROSTATION MILITAIRE;1408;STRASSER Peter;35306;;;;
AÉROSTATION;2;AÉROSTATION POSTALE;1409;;;;
AÉROSTATION;2;AÉROSTATION SCIENTIFIQUE;1410;;;;
AÉROSTATION;2;ÉQUIPEMENT AÉROSTATIQUE;2627;;;;
ÉQUIPEMENT AÉROSTATIQUE;2627;ANCRE;2626;;;;
ÉQUIPEMENT AÉROSTATIQUE;2627;CORDAGE;7993;;;;
ÉQUIPEMENT AÉROSTATIQUE;2627;ENVELOPPE;6895;;;;
ENVELOPPE;6895;CAOUTCHOUC;6894;;;;
ÉQUIPEMENT AÉROSTATIQUE;2627;ETOFFE;10751;;;;
ÉQUIPEMENT AÉROSTATIQUE;2627;FILET;11847;;;;
ÉQUIPEMENT AÉROSTATIQUE;2627;GAZ;12643;;;;
ÉQUIPEMENT AÉROSTATIQUE;2627;GÉNÉRATEUR D'HYDROGÈNE;12802;;;;
ÉQUIPEMENT AÉROSTATIQUE;2627;GUIDE-ROPE;13276;;;;
ÉQUIPEMENT AÉROSTATIQUE;2627;NACELLE DE BALLON;20482;;;;
ÉQUIPEMENT AÉROSTATIQUE;2627;SOUPAPE;26109;;;;
ÉQUIPEMENT AÉROSTATIQUE;2627;TREUIL;27617;;;;
ÉQUIPEMENT AÉROSTATIQUE;2627;VERNIS;13895; HÉLICE;10493;;
ÉQUIPEMENT AÉROSTATIQUE;2627;VOITURE-TREUIL;29238;;;;
AÉROSTATION;2;MANOEUVRES;18053;;;;
AÉROSTATION;2;SPORT AÉROSTATIQUE;26245;;;;
AÉROSTATION;2;TECHNIQUE AÉROSTATIQUE;3164;;;;
TECHNIQUE AÉROSTATIQUE;3164;ASCENSIONS;3163;;;;
.../...;;ARCHEOLOGIE;4;;;;
ARCHEOLOGIE;4;ARCHÉOLOGIE AÉRIENNE;2897;;;;
ARCHÉOLOGIE AÉRIENNE;2897;POIDEBARD Antoine;22643;;;;
ARCHEOLOGIE;4;ARCHÉOLOGIE AÉRONAUTIQUE;2898;;;;
.../...;;ARMEMENT;5;;;;
ARMEMENT;5;ARMEMENT À ÉNERGIE DIRIGÉE;2982;;;;Directed Energy Weapon| DEW| Laser| Faisceau Laser| MFP| Micro-ondes à Forte Puissance
ARMEMENT;5;ARMEMENT AU SOL;2981;;;;
ARMEMENT AU SOL;2981;ARTILLERIE ANTI-AÉRIENNE;3038;;;;Défense Contre Avions| Defensive Counter Air| DCA| D.C.A.| Flak
ARMEMENT;5;ARMEMENT DE BORD;2989;;;;
ARMEMENT DE BORD;2989;BOMBE;5448;;;;
BOMBE;5448;BLU-107 DURANDAL (MATRA);34122;;;;
BOMBE;5448;BOMBE ÉLECTROMAGNÉTIQUE;5449;;;;Arme à Impulsion Électro-Magnétique| HPW| High Power Microwave| Bombe E| Bombe Électronique| Arme à hyperfréquences| Arme électronmagnétique
BOMBE;5448;BOMBE GUIDÉE;1493;;;;BGL| Bombe à Guidage Laser| Bombe à guidage satellitaire| Bombe à guidage inertiel| PLANEUR-DISPERSEUR| PGM| Precision Guided Munition| Bombe planante autoguidée| Smart Bomb
BOMBE GUIDÉE;1493;AGM-154 JSOW (Raytheon);1490;;;;JSOW (Raytheon)| Joint Stand-Off Weapon (Raytheon)
BOMBE GUIDÉE;1493;GBU-39 SDB (Boeing);12688; SDB II (Boeing-Lockheed Martin);25277;;Small Diameter Bomb (Boeing)| GBU-39 Small Diameter Bomb (Boeing)
BOMBE GUIDÉE;1493;GBU-43B MOAB (Dynetics-AFRL);12691;;;;Mother Of All Bombs| Massive Ordnance Air Blast (Dynatics-AFRL)
BOMBE GUIDÉE;1493;HOPE (BGT);14298; HOSBO (BGT);14309;;HOchleistung PEnetrator (BGT)
BOMBE GUIDÉE;1493;HOSBO (BGT);14309;;;;HOchleistung Spreng BOmbe (BGT)
BOMBE GUIDÉE;1493;LONGSHOT (Leigh Aerosystems);17281;;;;
BOMBE GUIDÉE;1493;MSOV (IMI);20105;;;IMI = Israel Military Industries;Modular Stanf-Off Vehicle (IMI)
BOMBE GUIDÉE;1493;OWL (Lockheed Martin);21357;;;;On target Weapon Long range (Lockheed Martin)
BOMBE GUIDÉE;1493;RAPTOR II (Kentron);23488;;;;RAPTOR I (Kentron)
BOMBE;5448;BOMBE NUCLÉAIRE;5466;;;;BOMBE ATOMIQUE
BOMBE NUCLÉAIRE;5466;AN-52 (Dassault-CEA);34501;;;;AN 52 (Dassault-CEA)
BOMBE;5448;BOMBE VOLANTE;5469;;;;
BOMBE;5448;CBU-100 ROCKEYE (Marquardt);34870;;;;MK-20 ROCKEYE
BOMBE;5448;KIT DE GUIDAGE POUR BOMBE;812; BOMBE GUIDÉE;1493;;
KIT DE GUIDAGE POUR BOMBE;812;AASM (Sagem);810;;;;Armement Air-Sol Modulaire
KIT DE GUIDAGE POUR BOMBE;812;DMLGB (Lockheed Martin);9389;;;;Dual Mode Laser Guided Bomb (Lockheed Martin)
KIT DE GUIDAGE POUR BOMBE;812;GBU-31 JDAM (Boeing);12683;;;;GBU-38 JDAM (Boeing)| GBU-32 JDAM (Boeing)| Joint Direct Attack Munition (Boeing)| JDAM (Boeing)
KIT DE GUIDAGE POUR BOMBE;812;PAVEWAY II (Raytheon);22184;;;;
KIT DE GUIDAGE POUR BOMBE;812;PAVEWAY III (Raytheon);22186;;;;
KIT DE GUIDAGE POUR BOMBE;812;PAVEWAY IV (Raytheon);22185; PAVEWAY II (Raytheon)| PAVEWAY III (Raytheon);22184| 22186;;PAVEWAY 4 (Raytheon)
BOMBE;5448;MOP (Boeing);12694; GBU-43B MOAB (Dynetics-AFRL);12691;;Massive Ordnance Penetrator (Boeing)
ARMEMENT DE BORD;2989;CANON;1067;;;;
CANON;1067;ADEN 25 (Royal Ordnance);1066;;;;
CANON;1067;OBUS;10567;;;;OBUS PLANANT| OBUS-MISSILE
OBUS;10567;ERGM (Raytheon);10565;;;;Extended range Guided Munition
CANON;1067;Type 7 (Hispano-Suiza);28277;;;;
CANON;1067;Type 9 (Hispano-Suiza);28345;;;;
ARMEMENT DE BORD;2989;FLECHETTE;31113;;;;
ARMEMENT DE BORD;2989;GBU-53 SDB-II (Raytheon);30951;;;;GBU-53 Small Diameter Bomm II (Raytheon)| Small Diameter Bomb II (Raytheon)
ARMEMENT DE BORD;2989;LANCE-BOMBE;31364;;;;
ARMEMENT DE BORD;2989;MISSILE AIR-SOL;1504;;;;Air-To-Ground Missile| ATGM
MISSILE AIR-SOL;1504;AGM-12 BULLPUP (Lockheed Martin);34872;;;;
MISSILE AIR-SOL;1504;AGM-65 MAVERICK (Raytheon-Hughes);1502;;;;MAVERICK (Raytheon-Hughes)
MISSILE AIR-SOL;1504;AGM-84H SLAM-ER (Boeing);1512;;;;Standoff Land Attack Missile-Expanded Response (Boeing)| SLAM-ER (Boeing)| AGM-84K SLAM-ER (Boeing)
MISSILE AIR-SOL;1504;AS 30 LASER (Aérospatiale);3058;;;;N.5103 (Nord-Aviation)
MISSILE AIR-SOL;1504;ASMP (Aérospatiale);3207; ASMP-A (MBDA)| MPAN (Aérospatiale);3209| 19957;;Ais-Sol Moyenne Portée (Aérospatiale)
MISSILE AIR-SOL;1504;ASMP-A (MBDA);3209; VESTA (Aérospatiale Matra-Celerg);29056;;Air-Sol Moyenne Portée-Amélioré (MBDA)
MISSILE AIR-SOL;1504;BRIMSTONE (MBDA);5827;;;;
MISSILE AIR-SOL;1504;ENZIAN (Holzbau Sonthofen);36435;;;;
MISSILE AIR-SOL;1504;GAM-77 HOUND DOG (North American);12578;;;;Weapon System 131 (North American)| General Operations Requirement 148 (North American)| WS-131 (North American)| AGM-28 HOUND DOG (North American)| GOR 148 (North American)| HOUND DOG (North American)| B-77 HOUND DOG (North American)
MISSILE AIR-SOL;1504;JCM (Boeing-Northrop Grumman);5828; BRIMSTONE (MBDA)| JCM (Raytheon-Lockheed Martin);5827| 15306;;Joint Common Missile (Boeing-Northrop Grumman)
MISSILE AIR-SOL;1504;JCM (Raytheon-Lockheed Martin);15306;;;;Joint Common Missile (Raytheon-Lockheed Martin)
MISSILE AIR-SOL;1504;JDRADM (Boeing);5413; BOEING;1002;;Joint Dual Role Air Dominance Missile
MISSILE AIR-SOL;1504;Kh-38 (Zvezda-Strela);15838;;;;
MISSILE AIR-SOL;1504;KH-47M2 KINJAL;35797;;;;
MISSILE AIR-SOL;1504;LAM-A (Raytheon);16588; PAM (Raytheon);22079;;NetFires (Raytheon)| Loitering Attack Munition-Aviation (Raytheon)| NetFires/Missile (Raytheon)
MISSILE AIR-SOL;1504;LOCAAS (Lockheed Martin);16592; LAM-A (Raytheon);16588;;LOw Cost Autonomous Attack System (Lockheed Martin)
MISSILE AIR-SOL;1504;MODULAR MUNITION (MBDA);19752;;;;
MISSILE AIR-SOL;1504;PARS 3 (MBDA);22151;;;;
MISSILE AIR-SOL;1504;POLYPHEME (EADS-LFK-MBDA);2305;;;;TRIFOM (EADS-LFK-MBDA)| POLYPHEM (EADS-LFK-MBDA)
POLYPHEME (EADS-LFK-MBDA);2305;ALFO (Aérospatiale Matra);2303;;;;Armement Léger à Fibre Optique (Aérospatiale Matra)
MISSILE AIR-SOL;1504;POPEYE (Rafael);22691;;;;HAVE LITE (Rafael)| HAVE NAP (Rafael)| RAPTOR (Lockheed Martin-Rafael)| AGM-142E RAPTOR (Lockheed Martin-Rafael)| AGM-142B HAVE LITE (Rafael)| AGM-142A HAVE NAP (Rafael)
ARMEMENT DE BORD;2989;MITRAILLEUSE;18939;;;;TOURELLE MITRAILLEUSE
ARMEMENT DE BORD;2989;ROQUETTE;23965;;;;Lance-roquette| Panier lance-roquette
ARMEMENT DE BORD;2989;VISEUR;29159; VISEUR TÊTE HAUTE;16059;;
ARMEMENT;5;ARMEMENT NUCLEAIRE;2990;;;;
ARMEMENT;5;MINE;33839;;;;
ARMEMENT;5;MISSILE;15309;;;;Engins Spéciaux
MISSILE;15309;JDRADM (Boeing);5413; BOEING;1002;;Joint Dual Role Air Dominance Missile
MISSILE;15309;MISSILE AIR-AIR;1677; MISSILE ANTI-AÉRIEN;3281;;
MISSILE AIR-AIR;1677;AIM-47 (Hughes);1675;;;;GAR-9 (Hughes)
MISSILE AIR-AIR;1677;AIM-54 PHOENIX (Hughes);1678; AIM-47 (Hughes);1675;;PHOENIX (Hughes)
MISSILE AIR-AIR;1677;AIM-7 SPARROW (Raytheon);1680;;;;SPARROW (Raytheon)| AAM-N-6 SPARROW (Raytheon)
MISSILE AIR-AIR;1677;AIM-9 SIDEWINDER (Raytheon);1684;;;;SIDEWINDER (Raytheon)
MISSILE AIR-AIR;1677;AIM-92 STINGER (General Dynamics);34123;;;;
MISSILE AIR-AIR;1677;AS 30 (Aérospatiale);3056;;;;N.5103 (Nord-Aviation)
AS 30 (Aérospatiale);3056;AS 30 LASER (Aérospatiale);3058;;;;N.5103 (Nord-Aviation)
MISSILE AIR-AIR;1677;BLUE JAY (Armstrong Whitworth);5337;;;;FIRESTREAK (Armstrng Whitworth)
MISSILE AIR-AIR;1677;BLUE VESTA (Vickers);5343;;;;
MISSILE AIR-AIR;1677;DERBY (Rafael);9110; SPYDER (Rafael)| V-3E A-DARTER (Denel);26274| 28841;;
MISSILE AIR-AIR;1677;FIRESTREAK (De Havilland);11874;;;;
MISSILE AIR-AIR;1677;IRIS-T (BGT);14951;;;;Infra Red Imaging System-Tail/Thrust Vector Controlled (BGT)
IRIS-T (BGT);14951;IRIS-T SL (BGT);14953;;;;IRIS-T Surface Launched (BGT)
MISSILE AIR-AIR;1677;JDRADM (Boeing);5413; BOEING;1002;;Joint Dual Role Air Dominance Missile
MISSILE AIR-AIR;1677;K-100 (Novator);31232;;;;
MISSILE AIR-AIR;1677;MAA-1 PIRANHA (Mectron);17934;;;;PIRANHA (Mectron)
MISSILE AIR-AIR;1677;MALI (Northrop Grumman);18010;;;;Miniature Air Launched Interceptor (Northrop Grumman)
MISSILE AIR-AIR;1677;METEOR (MBDA);18579;;;;METEOR (MAtra BAe Dynamics)
MISSILE AIR-AIR;1677;MICA (Matra BAe Dynamics);18700;;;;Missile d'Interception de Combat et d'Autodéfense (Matra BAe Dynamics)
MICA (Matra BAe Dynamics);18700;VL MICA (MBDA);29195;;;;Vertical Launch MICA (MBDA)
MISSILE AIR-AIR;1677;PL-9 (Catic);31235;;;;
MISSILE AIR-AIR;1677;PYTHON III (Rafael);23021;;;;
MISSILE AIR-AIR;1677;PYTHON IV (Rafael);9111; DERBY (Rafael)| PYTHON III (Rafael)| PYTHON V (Rafael);9110| 23021| 23022;;
MISSILE AIR-AIR;1677;PYTHON V (Rafael);23022; SPYDER (Rafael);26274;;
MISSILE AIR-AIR;1677;R 530 (MATRA);23172;;;;SUPER 530 (MATRA)
MISSILE AIR-AIR;1677;R 550 MAGIC 1 (MATRA);23174;;;;MAGIC 1 (MATRA)
MISSILE AIR-AIR;1677;R-172 (Novator);23208;;;;Ks-172 (Novator)
MISSILE AIR-AIR;1677;R-74M (Vympel);31234;;;;
MISSILE AIR-AIR;1677;R-77 (Vympel);23278;;;;ADDER (Vympel)| AMRAAMSKY (Vympel)| AA-12 ADDER (Vympel)| RVV-AE (Vympel)
MISSILE AIR-AIR;1677;RED HAWK (RAE);23635;;;;
MISSILE AIR-AIR;1677;RED HEBE (Vickers);23636;;;;
MISSILE AIR-AIR;1677;RED TOP (De Havilland);23637;;;;
MISSILE AIR-AIR;1677;SD-10 (Catic);31233;;;;
MISSILE AIR-AIR;1677;SHAFRIR 2 (Rafael);25578;;;;
MISSILE AIR-AIR;1677;V-3E A-DARTER (Denel);28841;;;;DARTER (Denel)| A-DARTER (Denel)
MISSILE;15309;MISSILE ANTI-AÉRIEN;3281;;;;MISSILE SOL-AIR| MISSILE ANTIAÉRIEN| MISSILE MER-AIR
MISSILE ANTI-AÉRIEN;3281;ASTER (Eurosam);3270;;;;Future Surface-to-Air Family (Eurosam)| ASTER 30 (Eurosam)| PAAMS (Eurosam)| FSAF (Eurosam)| Surface-to-Air Anti-Missile (Eurosam)| SAAM (Eurosam)| ASTER 15 (Eurosam)| Sol-Air Moyenne Portée/Terrestre (Eurosam)| SAMP/T (Eurosam)| Principal Anti-Air Missile System (Eurosam)
MISSILE ANTI-AÉRIEN;3281;BARAK (Rafael);4813;;;;
MISSILE ANTI-AÉRIEN;3281;BLUE ENVOY (BAC);5332;;;;
MISSILE ANTI-AÉRIEN;3281;CAMS (MBDA);6834;;;;Common Anti-Air Modular Missile System (MBDA)
MISSILE ANTI-AÉRIEN;3281;CROTALE (Thomson-CSF);8187;;;;
MISSILE ANTI-AÉRIEN;3281;ESSM (Raytheon);10671; RIM-7 SEA SPARROW (Raytheon);1683;;Evolved Sea Sparrow Missile (Raytheon)
MISSILE ANTI-AÉRIEN;3281;IM-99A BOMARC (Boeing);14820; IM-99B SUPER BOMARC (Boeing);14830;;BOeing Michigan Aeronautical Research Center| BOMARC (Boeing)| CIM-10A BOMARC (Boeing)| CQM-10 BOMARC (Boeing)| YIM-99A BOMARC (Boeing)| MX-1599 BOMARC (Boeing)| F-99 BOMARC (Boeing)| XIM-99A BOMARC (Boeing)| XF-99 BOMARC (Boeing)
MISSILE ANTI-AÉRIEN;3281;IM-99B SUPER BOMARC (Boeing);14830;;;;SUPER BOMARC (Boeing)| XIM-99B SUPER BOMARC (Boeing)| CIM-10B SUPER BOMARC (Boeing)| CQM-10B SUPER BOMARC (Boeing)
MISSILE ANTI-AÉRIEN;3281;IRIS-T SL (BGT);14953;;;;IRIS-T Surface Launched (BGT)
MISSILE ANTI-AÉRIEN;3281;MIM-104 PATRIOT (Raytheon);18813;;;;PATRIOT (Raytheon)| Phased Array TRacking to Intercept Of Target (Raytheon)| Patriot Advanced Capability-3 (Raytheon)| Medium Extended Air Defense System (Lockheed Martin)| PAC-3 (Raytheon)| MEADS (Lockheed Martin)| Patriot Advanced Capability-2 (Raytheon)| PAC-2 (Raytheon)
MISSILE ANTI-AÉRIEN;3281;MIM-14 NIKE HERCULES (Western Electric-Douglas);9499; DOUGLAS| LIM-49 NIKE ZEUS (Western Electric-Douglas);265| 9497;;Mobile Intercept Missile-14 NIKE HERCULES (Western Electric-Douglas)| NIKE HERCULES (Western Electric-Douglas)| SAM-A-25 (Western Electric-Douglas)| NIKE B (Western Electric-Douglas)| M-6 (Western Electric-Douglas)
MISSILE ANTI-AÉRIEN;3281;MIM-23 HAWK (Raytheon);18827;;;;SAM-A-18 HAWK (Raytheon)| M3 HAWK (Raytheon)| HAWK (Raytheon)| Homing All the Way Killer (Raytheon)
MISSILE ANTI-AÉRIEN;3281;MIM-3 NIKE AJAX (Western Electric-Douglas);9500; DOUGLAS| MIM-14 NIKE HERCULES (Western Electric-Douglas);265| 9499;;SAM-A-7 (Western Electric-Douglas)| M-1 (Western Electric-Douglas)| Mobile Intercept Missile-3 NIKE AJAX (Western Electric-Douglas)| NIKE I (Western Electric-Douglas)| NIKE AJAX (Western Electric-Douglas)
MISSILE ANTI-AÉRIEN;3281;MISTRAL (Matra BAe Dynamics);18931;;;;SATCP (Matra BAe Dynamics)| Sol-Air très Courte Portée (Matra BAe Dynamics)
MISSILE ANTI-AÉRIEN;3281;PANTSIR-S1 (Nepobidimy);22102;;;;
MISSILE ANTI-AÉRIEN;3281;PANTSYR-S1 (KBP);22103;;;;
MISSILE ANTI-AÉRIEN;3281;RBS 70 (Saab Bofors);23557;;;;
MISSILE ANTI-AÉRIEN;3281;RIM-116 RAM (Hughes);1686; AIM-9 SIDEWINDER (Raytheon);1684;The RAM program is designed to provide surface ships with an effective, low-cost, lightweight, self-defense system which will provide an improved capability to engage and defeat incoming antiship cruise missiles (ASCMs). RAM - a joint US and German project - is an autonomous fire-and-forget inner-layer air defense missile system which will increase the survivability of otherwise undefended ships.RIM-116 is a 5-inch missile that utilizes SIDEWINDER technology for the warhead and rocket motor, and the STINGER missile?s seeker. The launching system - a 21-round or a 11-round launcher - and the missiles comprise the weapon system.;RAM (Hughes)| Rolling Airframe Missile (Hughes)| SEA RAM (Hughes)
MISSILE ANTI-AÉRIEN;3281;RIM-66 STANDARD (General Dynamics);23838;;;;STANDARD (General Dynamics)
MISSILE ANTI-AÉRIEN;3281;RIM-7 SEA SPARROW (Raytheon);1683; AIM-7 SPARROW (Raytheon);1680;;SEA SPARROW (Raytheon)
MISSILE ANTI-AÉRIEN;3281;ROLAND (Euromissile);23943;;;;
MISSILE ANTI-AÉRIEN;3281;S-300 FAVORIT (OKB Zvezda);24234;;;;FAVORIT (OKB Zvezda)| SA-12 (OKB Zvezda)| SA-10 (OKB Zvezda)
MISSILE ANTI-AÉRIEN;3281;S-400 TRIOMF (OKB Zvezda);24258;;;;TRIOMF (OKB Zvezda)| SA-20 TRIOMF (OKB Zvezda)
MISSILE ANTI-AÉRIEN;3281;S-75 DVINA (Lavochkin OKB);30913;;;;SAM-2| SA-2 GUIDELINE
MISSILE ANTI-AÉRIEN;3281;SA-16 GIMLET (Nepobidimy);24757; SA-18 GROUSE (Nepobidimy);24763;;SA-16 GIMLET (Altair-Nepobidimy)| GIMLET (Nepobidimy)| IGLA-1 (Nepobidimy)| SA-N-10 GIMLET (Nepobidimy)| STRELETS (Nepobidimy)
